block_name,case_name,operator,start_us,end_us,duration_us,timeline_source,operator_category_zh,operator_name_zh,operator_explanation_zh
mamba_ssm_mamba3,quick_b1_l128_d256,LayerNormFn,4214.0,4308.0,111.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::reshape,4219.0,4206.0,4.0,cpu_profiler_event,形状变换,重塑形状,改变张量形状。多数情况下是视图操作，但如果内存不连续，也可能触发额外拷贝。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::_reshape_alias,4222.0,4206.0,1.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_like,4228.0,4219.0,8.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_strided,4230.0,4218.0,5.0,cpu_profiler_event,显存分配,按步幅申请张量,申请带有特定 stride 布局的张量。常由转置、reshape、contiguous 或某些 kernel 输出触发，主要反映中间结果的内存分配。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty,4241.0,4227.0,3.0,cpu_profiler_event,显存分配,申请未初始化张量,只申请一块张量内存，不填充值。它本身不是数学计算，但在显存 breakdown 中出现较多，说明该模块创建了不少中间张量。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::reshape,4316.0,4302.0,3.0,cpu_profiler_event,形状变换,重塑形状,改变张量形状。多数情况下是视图操作，但如果内存不连续，也可能触发额外拷贝。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::view,4317.0,4302.0,2.0,cpu_profiler_event,形状变换,视图变形,不复制数据，只用新的形状解释同一块内存。通常耗时和显存都很小。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::squeeze,4332.0,4322.0,7.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::squeeze,4340.0,4324.0,1.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::squeeze,4345.0,4329.0,1.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::squeeze,4348.0,4333.0,2.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::to,4359.0,4393.0,51.0,cpu_profiler_event,数据转换,类型或设备转换,把张量转换 dtype、device 或 memory format。比如 float16/float32 之间转换，或为了 kernel 要求临时转换精度。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::_to_copy,4362.0,4393.0,48.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_strided,4367.0,4354.0,4.0,cpu_profiler_event,显存分配,按步幅申请张量,申请带有特定 stride 布局的张量。常由转置、reshape、contiguous 或某些 kernel 输出触发，主要反映中间结果的内存分配。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::copy_,4375.0,4392.0,34.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,cudaLaunchKernel,4391.0,4390.0,16.0,cpu_profiler_event,CUDA 调度,启动 CUDA kernel,CPU 向 GPU 发起一个 kernel 启动请求。它不是模型数学计算本身，但 kernel 很多时，调度开销会在 CPU profiler 中变明显。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::to,4413.0,4414.0,18.0,cpu_profiler_event,数据转换,类型或设备转换,把张量转换 dtype、device 或 memory format。比如 float16/float32 之间转换，或为了 kernel 要求临时转换精度。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::_to_copy,4414.0,4415.0,18.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_strided,4415.0,4401.0,3.0,cpu_profiler_event,显存分配,按步幅申请张量,申请带有特定 stride 布局的张量。常由转置、reshape、contiguous 或某些 kernel 输出触发，主要反映中间结果的内存分配。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::copy_,4419.0,4414.0,12.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,cudaLaunchKernel,4422.0,4413.0,8.0,cpu_profiler_event,CUDA 调度,启动 CUDA kernel,CPU 向 GPU 发起一个 kernel 启动请求。它不是模型数学计算本身，但 kernel 很多时，调度开销会在 CPU profiler 中变明显。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::to,4434.0,4436.0,19.0,cpu_profiler_event,数据转换,类型或设备转换,把张量转换 dtype、device 或 memory format。比如 float16/float32 之间转换，或为了 kernel 要求临时转换精度。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::_to_copy,4435.0,4437.0,19.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_strided,4436.0,4423.0,4.0,cpu_profiler_event,显存分配,按步幅申请张量,申请带有特定 stride 布局的张量。常由转置、reshape、contiguous 或某些 kernel 输出触发，主要反映中间结果的内存分配。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::copy_,4441.0,4436.0,12.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,cudaLaunchKernel,4445.0,4435.0,7.0,cpu_profiler_event,CUDA 调度,启动 CUDA kernel,CPU 向 GPU 发起一个 kernel 启动请求。它不是模型数学计算本身，但 kernel 很多时，调度开销会在 CPU profiler 中变明显。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::to,4455.0,4454.0,16.0,cpu_profiler_event,数据转换,类型或设备转换,把张量转换 dtype、device 或 memory format。比如 float16/float32 之间转换，或为了 kernel 要求临时转换精度。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::_to_copy,4456.0,4454.0,15.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::empty_strided,4457.0,4443.0,3.0,cpu_profiler_event,显存分配,按步幅申请张量,申请带有特定 stride 布局的张量。常由转置、reshape、contiguous 或某些 kernel 输出触发，主要反映中间结果的内存分配。
mamba_ssm_mamba3,quick_b1_l128_d256,aten::copy_,4461.0,4454.0,10.0,cpu_profiler_event,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。
